pulled_at_utc,facility_name,location_name,last_count,total_capacity,percent_full,last_updated_source_time,is_closed
2025-04-22T18:03:32.222315+00:00,SWRC,Maguire Field,0,100,0.0,2025-04-14T08:32:25.113,True
2025-04-22T18:03:32.222315+00:00,Lake Wauburg,Reservations - LW North,0,1000,0.0,2024-07-05T11:43:25.053,True
2025-04-22T18:03:32.222315+00:00,SWRC,SWRC Weight Room,112,300,37.33,2025-04-22T13:18:05.237,False
2025-04-22T18:03:32.222315+00:00,SWRC,SWRC Cardio Room 2,19,75,25.33,2025-04-22T13:26:03.87,False
2025-04-22T18:03:32.222315+00:00,SWRC,SWRC Cardio Room 1,12,95,12.63,2025-04-22T13:26:04.527,False
2025-04-22T18:03:32.222315+00:00,SWRC,SWRC Functional Area,8,25,32.0,2025-04-22T13:41:04.437,False
2025-04-22T18:03:32.222315+00:00,SWRC,Multi-Purpose Court 1,4,10,40.0,2025-04-22T13:41:05.173,False
2025-04-22T18:03:32.222315+00:00,SWRC,Multi-Purpose Court 2,3,10,30.0,2025-04-22T13:41:05.753,False
2025-04-22T18:03:32.222315+00:00,SWRC,Multi-Purpose Court 3,2,10,20.0,2025-04-22T13:41:06.313,False
2025-04-22T18:03:32.222315+00:00,SWRC,Multi-Purpose Court 4,1,10,10.0,2025-04-22T13:41:06.987,False
2025-04-22T18:03:32.222315+00:00,SWRC,Multi-Purpose Court 5,2,10,20.0,2025-04-22T13:41:09.907,False
2025-04-22T18:03:32.222315+00:00,SWRC,Multi-Purpose Court 6,6,10,60.0,2025-04-22T13:41:10.61,False
2025-04-22T18:03:32.222315+00:00,SWRC,SWRC Tennis Courts,2,40,5.0,2025-04-22T12:47:29.693,False
2025-04-22T18:03:32.222315+00:00,SWRC,UVS Sand Volleyball,11,100,11.0,2025-04-21T23:32:17.87,True
2025-04-22T18:03:32.222315+00:00,SRFC,SRFC Squash,0,8,0.0,2025-04-22T13:53:24.877,False
2025-04-22T18:03:32.222315+00:00,SRFC,SRFC Table Tennis,0,4,0.0,2025-04-22T13:53:25.593,False
2025-04-22T18:03:32.222315+00:00,Aquatics,Florida Pool,0,100,0.0,2025-04-20T18:36:00.76,True
2025-04-22T18:03:32.222315+00:00,Aquatics,Graham Pool,0,100,0.0,2025-01-16T21:11:34.87,True
2025-04-22T18:03:32.222315+00:00,Aquatics,O'Connell Center Pool,0,200,0.0,2025-04-22T12:58:13.01,True
2025-04-22T18:03:32.222315+00:00,SRFC,SRFC Strength & Conditioning Room,42,100,42.0,2025-04-22T13:53:26.767,False
2025-04-22T18:03:32.222315+00:00,SRFC,SRFC Lower Functional Area,6,20,30.0,2025-04-22T13:53:27.33,False
2025-04-22T18:03:32.222315+00:00,SRFC,SRFC Multi-purpose Court,6,50,12.0,2025-04-22T13:53:28,False
2025-04-22T18:03:32.222315+00:00,SRFC,SRFC Racquetball,2,20,10.0,2025-04-22T13:53:28.547,False
